"","aoi_id","aoi_name","section_id","recording_id","fixation_id","fixation_duration.ms","folder"
"925","74fd9f34-01ee-4b14-b467-45bb3b886cc6","face","a48b926e-59ea-42b9-81ec-9495c6b97f7b","00598c81-108a-4a39-9256-7e431145ca7b","192","480","20-sY_csv"
"926","74fd9f34-01ee-4b14-b467-45bb3b886cc6","face","be4caf15-6567-4a3c-bba8-5c962127ffa7","34b59526-a8ca-4be9-a6a8-b46490bf9c98","47","6676","20-sY_csv"
"927","74fd9f34-01ee-4b14-b467-45bb3b886cc6","face","5b9ed934-156c-455e-b342-52b5d20150a9","7fe66918-fc48-4435-9aa2-fbdd31ecc621","93","6614","20-sY_csv"
"928","74fd9f34-01ee-4b14-b467-45bb3b886cc6","face","ac6df779-3cec-4a49-a170-eb929d3a3472","8fecd5d3-09af-4f40-95bc-1c76b4adf438","256","536","20-sY_csv"
"929","74fd9f34-01ee-4b14-b467-45bb3b886cc6","face","ac6df779-3cec-4a49-a170-eb929d3a3472","8fecd5d3-09af-4f40-95bc-1c76b4adf438","258","228","20-sY_csv"
"930","3f006490-cf85-4b8a-afb1-f216a3fdb1b7","hands","ac6df779-3cec-4a49-a170-eb929d3a3472","8fecd5d3-09af-4f40-95bc-1c76b4adf438","257","296","20-sY_csv"
"931","74fd9f34-01ee-4b14-b467-45bb3b886cc6","face","1d93f5c1-a58f-4da6-905a-5b0d497c16c7","a0a49152-c90b-4e5d-bb89-a29782681145","127","3540","20-sY_csv"
"932","74fd9f34-01ee-4b14-b467-45bb3b886cc6","face","1d93f5c1-a58f-4da6-905a-5b0d497c16c7","a0a49152-c90b-4e5d-bb89-a29782681145","128","1585","20-sY_csv"
"933","74fd9f34-01ee-4b14-b467-45bb3b886cc6","face","7ddd25a5-40af-4cd8-8479-ff67b0413a28","a92229a7-2f88-4b32-ba22-2ef9c7466682","55","7400","20-sY_csv"
"934","3f006490-cf85-4b8a-afb1-f216a3fdb1b7","hands","4638c118-a14b-45e9-a420-b28cb55aad67","b6047184-9e37-49bf-bb76-ce99f6eb1ec7","109","1044","20-sY_csv"
"935","74fd9f34-01ee-4b14-b467-45bb3b886cc6","face","99abab4c-abd4-49d8-b787-c97a94c2f39c","b6ca3931-cd61-4af4-9eee-e9ee21c69215","125","2228","20-sY_csv"
"936","3f006490-cf85-4b8a-afb1-f216a3fdb1b7","hands","99abab4c-abd4-49d8-b787-c97a94c2f39c","b6ca3931-cd61-4af4-9eee-e9ee21c69215","126","260","20-sY_csv"
"937","3f006490-cf85-4b8a-afb1-f216a3fdb1b7","hands","99abab4c-abd4-49d8-b787-c97a94c2f39c","b6ca3931-cd61-4af4-9eee-e9ee21c69215","127","240","20-sY_csv"
"938","3f006490-cf85-4b8a-afb1-f216a3fdb1b7","hands","99abab4c-abd4-49d8-b787-c97a94c2f39c","b6ca3931-cd61-4af4-9eee-e9ee21c69215","128","120","20-sY_csv"
"939","74fd9f34-01ee-4b14-b467-45bb3b886cc6","face","a6472408-f8e1-4ddf-8973-bdf50b0d5947","badefb46-f4fc-44df-bfa7-2e1fc7e4ae3d","40","6148","20-sY_csv"
"940","3f006490-cf85-4b8a-afb1-f216a3fdb1b7","hands","5eaf7892-8cd2-4231-834d-9257bc89960f","cb62fc54-6be6-4658-817a-9f0491b6e1bd","131","2352","20-sY_csv"
"941","74fd9f34-01ee-4b14-b467-45bb3b886cc6","face","499b252e-7091-451d-9023-0f4b8b2f18e9","d34232d4-8572-40a7-a844-601d735c40ce","104","3996","20-sY_csv"
"942","74fd9f34-01ee-4b14-b467-45bb3b886cc6","face","bc44e940-3b9a-438c-aa22-80f030d7a5bf","e4319678-12fa-4106-b1ef-19fb72a96880","65","12212","20-sY_csv"
"943","74fd9f34-01ee-4b14-b467-45bb3b886cc6","face","dcbefa70-d870-4ffb-bcf9-d888f01f25d1","e9ced595-7be7-4605-85f7-ba04518e0f0b","138","376","20-sY_csv"
"944","74fd9f34-01ee-4b14-b467-45bb3b886cc6","face","dcbefa70-d870-4ffb-bcf9-d888f01f25d1","e9ced595-7be7-4605-85f7-ba04518e0f0b","139","440","20-sY_csv"
"945","74fd9f34-01ee-4b14-b467-45bb3b886cc6","face","12156f5e-e4bf-415e-b55e-d6ee4ae8ab68","fc54a15e-da2d-4b02-97e4-7e2d945a18f9","89","2208","20-sY_csv"
"946","3f7e0edc-4211-4946-b2d1-88196067c7e1","face","e45bc632-8082-4603-b8c0-904c5c04df8c","c72918b2-d44b-49a7-8fec-497a537031a9","161","2016","21-mY_csv"
"947","fb88b06b-a321-4625-b6ff-a5321ad231d2","hands","e45bc632-8082-4603-b8c0-904c5c04df8c","c72918b2-d44b-49a7-8fec-497a537031a9","160","172","21-mY_csv"
"948","3f7e0edc-4211-4946-b2d1-88196067c7e1","face","a6e82dfc-2fb7-4729-9fad-8b6cebfe54ab","75628abf-e24a-4c66-a8b7-72b986bed632","228","544","21-mY_csv"
"949","fb88b06b-a321-4625-b6ff-a5321ad231d2","hands","a6e82dfc-2fb7-4729-9fad-8b6cebfe54ab","75628abf-e24a-4c66-a8b7-72b986bed632","227","216","21-mY_csv"
"950","fb88b06b-a321-4625-b6ff-a5321ad231d2","hands","a6e82dfc-2fb7-4729-9fad-8b6cebfe54ab","75628abf-e24a-4c66-a8b7-72b986bed632","229","552","21-mY_csv"
"951","3f7e0edc-4211-4946-b2d1-88196067c7e1","face","28f2342a-6ffb-4582-93aa-f74dffaa0c71","595d3820-9d36-4254-9889-fb4aa7b03ca8","118","2976","21-mY_csv"
"952","3f7e0edc-4211-4946-b2d1-88196067c7e1","face","982cba73-138f-4895-9b5d-42710100c26d","5ac97dae-915d-4ebe-bf09-6dd8a6e1237e","91","963","21-mY_csv"
"953","3f7e0edc-4211-4946-b2d1-88196067c7e1","face","982cba73-138f-4895-9b5d-42710100c26d","5ac97dae-915d-4ebe-bf09-6dd8a6e1237e","92","200","21-mY_csv"
"954","3f7e0edc-4211-4946-b2d1-88196067c7e1","face","ee2c7e59-cd50-481c-a247-5006beb48842","bda32afb-bb0e-47d2-9a00-580011782b8f","187","1228","21-mY_csv"
