"","section id","recording id","fixation id","start timestamp [ns]","end timestamp [ns]","duration [ms]","fixation status","fixation x [px]","fixation y [px]","gesture_id","gesture_type","gesture_match","folder"
"80","21815d0e-3bf4-4f93-a4bd-c288787becc9","a0a49152-c90b-4e5d-bb89-a29782681145",39,1745072349123446272,1745072352066807296,2943,"true",931,573,"02","s","N","02-sN_csv"
"81","70579555-ebc4-4b48-a868-e8bbb67bb424","a92229a7-2f88-4b32-ba22-2ef9c7466682",20,1745074884239915520,1745074886967914496,2728,"true",989,516,"02","s","N","02-sN_csv"
"82","665e7aa5-9032-4690-aa0e-46aa432774a9","b6047184-9e37-49bf-bb76-ce99f6eb1ec7",34,1744738069815212032,1744738071307329024,1492,"true",1032,493,"02","s","N","02-sN_csv"
"83","665e7aa5-9032-4690-aa0e-46aa432774a9","b6047184-9e37-49bf-bb76-ce99f6eb1ec7",35,1744738071419276288,1744738071687261184,268,"true",903,519,"02","s","N","02-sN_csv"
"84","665e7aa5-9032-4690-aa0e-46aa432774a9","b6047184-9e37-49bf-bb76-ce99f6eb1ec7",36,1744738071723293184,1744738072483233024,760,"true",954,510,"02","s","N","02-sN_csv"
"85","665e7aa5-9032-4690-aa0e-46aa432774a9","b6047184-9e37-49bf-bb76-ce99f6eb1ec7",37,1744738072587266304,1744738075371259136,2784,"not mapped",NA,NA,"02","s","N","02-sN_csv"
"86","a5b30ac5-f4ea-41b1-bc33-33563d048ec6","b6ca3931-cd61-4af4-9eee-e9ee21c69215",47,1745389993972472832,1745389997356467712,3384,"true",951,442,"02","s","N","02-sN_csv"
"87","d8a4b952-8c78-4ccf-bcfd-fc1b2f468417","badefb46-f4fc-44df-bfa7-2e1fc7e4ae3d",9,1744732045502439680,1744732060502444544,15000,"true",949,467,"02","s","N","02-sN_csv"
"88","f68ec81b-9d0b-4621-aeaf-e071511e03c3","cb62fc54-6be6-4658-817a-9f0491b6e1bd",11,1745075474471858688,1745075479031872512,4560,"true",1029,507,"02","s","N","02-sN_csv"
"89","036946bd-b013-4e7c-ba4e-67ebe19d32ca","d34232d4-8572-40a7-a844-601d735c40ce",48,1744737609795410944,1744737613855415808,4060,"true",1046,513,"02","s","N","02-sN_csv"
"90","036946bd-b013-4e7c-ba4e-67ebe19d32ca","d34232d4-8572-40a7-a844-601d735c40ce",49,1744737613899398656,1744737614215386880,316,"true",708,384,"02","s","N","02-sN_csv"
"91","036946bd-b013-4e7c-ba4e-67ebe19d32ca","d34232d4-8572-40a7-a844-601d735c40ce",50,1744737614271410944,1744737614483411968,212,"true",608,324,"02","s","N","02-sN_csv"
"92","036946bd-b013-4e7c-ba4e-67ebe19d32ca","d34232d4-8572-40a7-a844-601d735c40ce",51,1744737614543397888,1744737618627406848,4084,"true",1017,579,"02","s","N","02-sN_csv"
"93","a5364506-c387-4a85-9bbf-7de90318a383","e4319678-12fa-4106-b1ef-19fb72a96880",23,1745390422128073216,1.745390425904e+18,3776,"true",966,453,"02","s","N","02-sN_csv"
"94","ecb0fded-8cf9-4a66-929e-79282f9f9959","e9ced595-7be7-4605-85f7-ba04518e0f0b",36,1744960488418898432,1744960490710737408,2292,"true",1023,376,"02","s","N","02-sN_csv"
"95","ecb0fded-8cf9-4a66-929e-79282f9f9959","e9ced595-7be7-4605-85f7-ba04518e0f0b",37,1744960490866733568,1744960491290857216,424,"true",1040,390,"02","s","N","02-sN_csv"
"96","a5a7df8a-9f86-4473-859f-57ce5d774223","eb81676a-2955-455d-8436-8d83246dd543",19,1744731494407710208,1744731500951620864,6544,"true",989,516,"02","s","N","02-sN_csv"
"97","a5a7df8a-9f86-4473-859f-57ce5d774223","eb81676a-2955-455d-8436-8d83246dd543",20,1744731501103623936,1744731502483634944,1380,"true",966,542,"02","s","N","02-sN_csv"
"98","bbf5b209-1422-4d99-8941-447da528301e","fc54a15e-da2d-4b02-97e4-7e2d945a18f9",14,1744621352134195200,1744621354954176000,2820,"true",929,359,"02","s","N","02-sN_csv"
"99","bbf5b209-1422-4d99-8941-447da528301e","fc54a15e-da2d-4b02-97e4-7e2d945a18f9",15,1744621355222138368,1744621355458139136,236,"true",914,536,"02","s","N","02-sN_csv"
